ENTITY	COUNT	WINDOWSIZE1	WINDOWSIZE2	WINDOWSIZE3	WINDOWSIZE4	WINDOWSIZE5
small sample size	81	PROBLEM PM:7 DT:1	PROBLEM MD:1 PM:4 DT:1	DATASET PM:1 DT:3	DATASET MD:3 PM:1 DT:6	PROBLEM PM:5 DT:2
probabilistic graphical models	81	N/A	N/A	METHOD MD:4 DT:4	METHOD MD:2 PM:1	PROBLEM PM:1 DT:1
points of interest	81	DATASET DT:2	N/A	PROBLEM PM:1 DT:1	METHOD MD:1	METHOD MD:1 DT:1
coordinate ascent	80	METHOD MD:35	METHOD MD:5 MC:1	METHOD MD:4 PM:1 MC:1	METHOD MD:2	METHOD MD:4 PM:2
multi armed bandit	80	PROBLEM MD:3 PM:32	PROBLEM PM:2	PROBLEM PM:2	PROBLEM PM:4	METHOD MD:1 PM:1
distributional similarity	80	METRIC MD:1 MC:2	N/A	METRIC MC:1	METRIC MC:1	METHOD MD:1 MC:1
author topic	80	N/A	PROBLEM PM:1	METHOD MD:1 DT:1	METHOD MD:10	DATASET DT:1
maximum likelihood estimates	80	N/A	METHOD MD:1 DT:1 MC:1	METHOD MD:6 PM:1 DT:1	METHOD MD:6 DT:1 MC:1	METHOD MD:1
topic tracking	80	METHOD MD:13 PM:9	METHOD MD:3 PM:2	METHOD MD:5 PM:1 DT:1	METHOD MD:1 PM:1 DT:1	METHOD MD:2
frequent subgraph mining	80	PROBLEM MD:3 PM:8	PROBLEM MD:1 PM:5	METHOD MD:2 PM:1	DATASET MD:3 PM:2 DT:4	DATASET PM:1 DT:4 MC:1
inverted matrix	79	METHOD MD:11	METHOD MD:2	DATASET MD:1 DT:2	METHOD MD:2 DT:1	DATASET DT:3
constraint programming	79	PROBLEM MD:6 PM:7	METHOD MD:1 PM:1 DT:1	PROBLEM PM:1 DT:1	PROBLEM MD:1 PM:3 DT:1	METHOD MD:2 PM:1
false positive rates	78	N/A	METRIC MC:1	DATASET DT:1	METHOD MD:2	METHOD MD:2 PM:1
hierarchical dirichlet processes	78	METHOD MD:1	N/A	METHOD MD:1	METHOD MD:1	METHOD MD:2
markov random fields	78	N/A	DATASET MD:1 PM:1 DT:2	METRIC MD:1 MC:5	DATASET MD:1 PM:2 DT:3	METHOD MD:2 PM:1
self organizing maps	78	N/A	METHOD MD:2 PM:1 DT:1	METHOD MD:1 DT:1	PROBLEM MD:1 PM:3	METHOD MD:1 PM:1
human language technologies	77	N/A	PROBLEM PM:1	N/A	N/A	PROBLEM PM:4
root mean squared error	77	N/A	METRIC MC:1	METHOD MD:3 MC:1	METRIC MD:1 MC:2	METRIC MD:1 PM:1 MC:3
binary relevance	77	METHOD MD:5 PM:1 MC:3	METHOD MD:1	METHOD MD:3 MC:2	METHOD MD:1 PM:1	PROBLEM MD:1 PM:3
sparse representation	77	METHOD MD:1	METHOD MD:1 DT:1	DATASET MD:1 DT:7	DATASET PM:1 DT:2	PROBLEM PM:2 DT:2
real time bidding	77	METHOD MD:11 PM:4	METHOD MD:1 PM:1	METRIC MC:1	DATASET MD:1 DT:3	METHOD MD:3 PM:1
total variation	77	PROBLEM MD:2 PM:5	METHOD MD:2 PM:1	METHOD MD:3 DT:1	METHOD MD:3	METHOD MD:5 PM:1 DT:1
strongly connected component	77	N/A	N/A	N/A	METHOD MD:1 PM:1 DT:1	N/A
dynamic bayesian network	76	METHOD MD:8	METHOD MD:36 PM:1	PROBLEM MD:1 PM:2 DT:1	METHOD MD:7 PM:1 DT:1 MC:1	METHOD MD:3
generalized linear models	76	N/A	METHOD MD:6 PM:1	METHOD MD:1 DT:1	METHOD MD:3	METHOD MD:1 DT:1 MC:1
long tailed	76	N/A	METHOD MD:1	PROBLEM PM:1	PROBLEM PM:2	METHOD MD:2
pointwise mutual information	76	METRIC MC:3	METRIC MC:2	METHOD MD:1 DT:1	METRIC PM:1 MC:2	METRIC MC:2
kolmogorov smirnov	76	METRIC MC:3	N/A	DATASET DT:1 MC:1	METRIC PM:1 DT:2 MC:3	N/A
service oriented architecture	76	PROBLEM PM:2	METHOD MD:3 PM:2	PROBLEM MD:2 PM:3	PROBLEM MD:2 PM:5	METHOD MD:2 PM:1
hellinger distance	76	METRIC MC:1	N/A	METRIC MD:2 MC:4	METRIC MD:1 MC:3	METRIC MC:2
correlation dimension	75	N/A	N/A	DATASET DT:5 MC:5	DATASET DT:3	METRIC DT:1 MC:2
manifold ranking	75	METHOD MD:17 PM:9 MC:5	METHOD MD:3 MC:1	METHOD MD:6 PM:1	METHOD MD:2	METHOD MD:3 DT:1 MC:1
false discovery rate	75	N/A	N/A	METHOD MD:4 DT:1 MC:1	METHOD MD:4 PM:1 MC:1	DATASET MD:1 DT:2
disparate impact	75	METRIC MC:2	PROBLEM PM:2 DT:1 MC:1	DATASET MD:3 DT:4 MC:2	DATASET MD:2 DT:3 MC:1	DATASET DT:1
public transportation	74	PROBLEM PM:3	DATASET DT:3 MC:1	DATASET DT:1	DATASET DT:1	METHOD MD:1
temporal logic	74	METHOD MD:2 MC:1	METHOD MD:1 DT:1	METHOD MD:1	METHOD MD:3 PM:1 MC:1	METHOD MD:1 PM:1
intelligent user interfaces	74	N/A	N/A	N/A	N/A	N/A
user bias	73	METRIC MD:1 MC:2	PROBLEM MD:2 PM:3	METHOD MD:2 PM:1	METHOD MD:2 PM:2	METHOD MD:1 PM:1 DT:1
given value	73	N/A	N/A	METRIC MC:2	DATASET DT:3 MC:2	METRIC DT:1 MC:2
densest subgraph problem	73	N/A	N/A	METHOD MD:4 PM:3	METHOD MD:6 PM:2	PROBLEM MD:4 PM:6
hard disk	73	N/A	PROBLEM PM:1	DATASET PM:1 DT:2	METHOD MD:3 PM:1 DT:1	METHOD MD:1 DT:1
jensen shannon divergence	72	METRIC MC:2	METRIC MC:1	METRIC PM:1 MC:2	METRIC MD:1 MC:3	PROBLEM PM:2 DT:1
delta encoding	72	METHOD MD:2	DATASET MD:1 PM:4 DT:12 MC:1	N/A	METHOD MD:1	METRIC MC:1
style tree	72	N/A	N/A	METHOD MD:3	DATASET MD:1 PM:1 DT:2	N/A
content match	72	PROBLEM PM:5 DT:1	METHOD MD:2 MC:1	PROBLEM PM:1	METHOD MD:1 PM:1 MC:1	METHOD MD:1 DT:1
user browsing model	72	N/A	PROBLEM PM:1 DT:1	METHOD MD:1 PM:1 DT:1	PROBLEM PM:1	N/A
domain model	72	METHOD MD:1	METHOD MD:3 PM:1	METHOD MD:3 PM:1 DT:1	METHOD MD:2 MC:1	METHOD MD:3 PM:2 DT:1
alternating least squares	72	METHOD MD:20	METHOD MD:4 PM:4 DT:1 MC:1	METHOD MD:1	METHOD MD:6 DT:2	N/A
brute force search	71	METHOD MD:5	N/A	METHOD MD:2 DT:1	METHOD MD:2 PM:1 DT:2 MC:1	METHOD MD:1 PM:1 MC:1
conditional random field	71	METHOD MD:7	METHOD MD:2 DT:1	METHOD MD:4 PM:1	METHOD MD:11 PM:2	METHOD MD:3
return on investment	71	METRIC MC:1	DATASET DT:2 MC:1	PROBLEM PM:1 MC:1	PROBLEM PM:2 DT:1 MC:1	METRIC MD:1 PM:1 MC:3
hierarchical agglomerative clustering	71	METHOD MD:12	N/A	METHOD MD:3 DT:1	METHOD MD:7 MC:1	METHOD MD:3 PM:3 DT:1 MC:1
self organizing map	70	METHOD MD:4	METHOD MD:1 DT:1	METHOD MD:1 DT:1	METHOD MD:5 PM:2 DT:2	DATASET MD:1 PM:1 DT:2
current practice	70	N/A	DATASET DT:2 MC:1	N/A	METHOD MD:1 PM:1 DT:1	METHOD MD:1
query by committee	70	METHOD MD:31	N/A	METHOD MD:1 DT:1	METHOD MD:2	METHOD MD:2 DT:1
distributed data mining	70	METHOD MD:7 PM:2	METHOD MD:1 PM:1 DT:1	METHOD MD:1 DT:1	METHOD MD:2 DT:1	DATASET MD:2 DT:8
virtual communities	70	N/A	DATASET DT:1	PROBLEM MD:1 PM:2	METHOD MD:1 PM:1	N/A
co regularization	70	METHOD MD:25	PROBLEM PM:1 DT:1	PROBLEM MD:1 PM:3 DT:1	METRIC PM:1 MC:2	METHOD MD:1 DT:1
poisson processes	69	METHOD MD:1	METHOD MD:3	N/A	METHOD MD:2 PM:1	METHOD MD:2 PM:2 DT:1
genetic programming	69	METHOD MD:1 PM:1	DATASET MD:1 DT:2 MC:2	PROBLEM PM:1	METHOD MD:1 PM:1 MC:1	METHOD MD:2 PM:1 DT:1 MC:1
signal strength	69	METHOD MD:1 MC:1	METHOD MD:3 DT:1 MC:1	METHOD MD:1 PM:1 DT:1 MC:1	METHOD MD:1	DATASET DT:1 MC:1
discounted cumulative gain	69	METRIC MC:1	METRIC MC:2	METRIC MC:2	METRIC MC:5	METRIC MD:1 MC:2
shannon entropy	69	METRIC MC:9	METRIC MC:1	PROBLEM PM:1	METHOD MD:1 DT:1 MC:1	METRIC MC:1
laplace mechanism	69	N/A	METHOD MD:3 PM:1	PROBLEM PM:3	METHOD MD:1 DT:1 MC:1	METHOD MD:1
approximate nearest neighbor	68	PROBLEM PM:2	METHOD MD:7	DATASET DT:1	N/A	METHOD MD:1
dictionary learning	68	METHOD MD:6 PM:2	PROBLEM MD:1 PM:2 MC:1	PROBLEM PM:2 DT:1	METHOD MD:1	DATASET DT:1
semi supervised classification	68	METHOD MD:6 PM:5	METHOD MD:1 PM:1 MC:1	DATASET DT:3	METHOD MD:1	DATASET PM:1 DT:2
trusted third party	68	METHOD MD:3	METHOD MD:2	PROBLEM PM:1	N/A	METHOD MD:2
rank loss	68	METHOD MD:3	METHOD MD:1	METHOD MD:6 MC:1	METHOD MD:3	METHOD MD:4 MC:3
overall precision	68	METRIC MC:2	METHOD MD:1	METHOD MD:4	METRIC MC:1	METRIC MD:1 MC:4
cost per click	67	METHOD MD:1	N/A	METHOD MD:1	METHOD MD:1	METHOD MD:4 MC:1
seed set expansion	67	PROBLEM MD:3 PM:13	METHOD MD:2 PM:1	METHOD MD:1	N/A	METHOD MD:1 DT:1
maximum margin matrix factorization	67	METHOD MD:4 MC:1	METHOD MD:1	METHOD MD:1	METHOD MD:1	METRIC MC:1
radial basis function	67	N/A	METHOD MD:1	METHOD MD:2 DT:1 MC:1	METRIC PM:1 MC:2	METHOD MD:1
wind speed	66	DATASET DT:9 MC:1	METRIC MC:1	METHOD MD:1 DT:1	DATASET DT:1	DATASET DT:1
information theoretic co clustering	66	METHOD MD:7	METHOD MD:2	METHOD MD:1 DT:1	METHOD MD:2 PM:2	PROBLEM PM:1
equal weights	66	METHOD MD:1	METHOD MD:2 PM:1	METHOD MD:1	METHOD MD:1	METRIC DT:1 MC:2
web observatories	66	N/A	DATASET MD:1 DT:3	METHOD MD:1 PM:1 DT:1	METHOD MD:1 MC:1	PROBLEM PM:1 DT:1
liquid query	66	METHOD MD:4 PM:2	PROBLEM MD:1 PM:2	METHOD MD:3 PM:2	PROBLEM PM:3 DT:1	PROBLEM MD:1 PM:2 DT:1
conjunctive query	65	N/A	N/A	METHOD MD:2 PM:1 DT:1 MC:1	METHOD MD:2 PM:1	PROBLEM PM:2 DT:1
supervised random walks	65	METHOD MD:1	METHOD MD:1 PM:1	METHOD MD:2 MC:1	METHOD MD:1	METHOD MD:2 MC:1
medical information	65	PROBLEM PM:3 DT:1	N/A	N/A	DATASET DT:1	N/A
classification and regression trees	65	N/A	METHOD MD:1	N/A	METHOD MD:1	N/A
user agents	65	N/A	PROBLEM PM:1	N/A	N/A	PROBLEM PM:1
mean square error	65	METRIC MC:1	METHOD MD:1	METRIC MD:2 MC:3	METHOD MD:4 MC:1	METHOD MD:1 MC:1
none of the above	64	METHOD MD:1	DATASET DT:1	N/A	PROBLEM MD:2 PM:3	METHOD MD:2 PM:1
density based algorithm	64	N/A	N/A	N/A	DATASET DT:1	N/A
collapsed gibbs sampler	64	N/A	N/A	METHOD MD:1 PM:1	METHOD MD:3	METHOD MD:3
constrained spectral clustering	64	METHOD MD:5	METHOD MD:2 PM:1 MC:1	METHOD MD:3	PROBLEM PM:1	METHOD MD:2 PM:2 DT:1
sign test	64	N/A	DATASET DT:1	METHOD MD:1	METRIC DT:1 MC:4	METHOD MD:2
gaussian mixture models	64	METHOD MD:3 PM:2	METHOD MD:4	METHOD MD:5 DT:4	METHOD MD:1 PM:1	METHOD MD:2 PM:1 MC:1
forward search	63	METHOD MD:14 PM:2 MC:3	N/A	METHOD MD:1 PM:1 MC:1	METHOD MD:5	DATASET DT:1
no cache	63	METHOD MD:1	PROBLEM PM:3	DATASET DT:2	N/A	METHOD MD:1
min wise independent	63	N/A	N/A	METRIC MC:1	N/A	METHOD MD:1
central limit theorem	63	N/A	PROBLEM PM:1	METHOD MD:4	METHOD MD:1	PROBLEM PM:1
quadratic program	63	N/A	METRIC MC:1	PROBLEM MD:1 PM:2	METHOD MD:3 PM:3 DT:1 MC:1	METRIC MD:1 PM:2 MC:3
weighted support	63	N/A	METRIC MC:1	METHOD MD:5	METHOD MD:2 DT:1	DATASET DT:1
cultural heritage	63	DATASET DT:1	DATASET DT:1	N/A	METHOD MD:2 DT:1	METHOD MD:1
network community profile	63	N/A	N/A	METHOD MD:1 MC:1	METRIC MD:1 MC:2	N/A
max planck institute	62	N/A	N/A	N/A	DATASET DT:2	N/A
yahoo answers	62	N/A	DATASET DT:2	N/A	N/A	N/A
virtual machine	62	N/A	N/A	PROBLEM PM:1	METHOD MD:1 PM:1	PROBLEM MD:1 PM:5
variational bayesian	62	METHOD MD:15 PM:1	METHOD MD:15	METHOD MD:5 PM:1	METHOD MD:3 PM:2	METHOD MD:5 DT:1
star wars	62	N/A	N/A	N/A	N/A	N/A
skip gram	61	METHOD MD:23	N/A	METHOD MD:2 MC:1	METHOD MD:5 DT:1 MC:1	METHOD MD:3
bibliographic coupling	61	N/A	N/A	METHOD MD:1 DT:1 MC:1	N/A	N/A
r precision	61	N/A	N/A	N/A	N/A	N/A
table of contents	61	N/A	N/A	N/A	PROBLEM PM:1	METHOD MD:1
national research foundation	60	N/A	N/A	N/A	N/A	N/A
shortest distance	60	N/A	METHOD MD:1	N/A	METRIC MC:2	METRIC MC:2
alternating direction method	60	N/A	METHOD MD:1	METHOD MD:1	METHOD MD:5	METHOD MD:1 DT:1
independent component analysis	60	N/A	N/A	METHOD MD:1	METHOD MD:4 PM:1 DT:2	METHOD MD:4 PM:1 DT:1
user context	60	METHOD MD:1 DT:1	N/A	DATASET DT:1 MC:1	METRIC DT:1 MC:2	METHOD MD:1
click distribution	60	METHOD MD:2 MC:1	METHOD MD:1 PM:1	METHOD MD:2 MC:1	METHOD MD:1 DT:1	N/A
parameter server	60	PROBLEM MD:1 PM:5	METHOD MD:2 DT:1	METHOD MD:2 PM:1 MC:2	METHOD MD:5	METHOD MD:3 MC:2
region of interest	60	N/A	DATASET DT:1	N/A	METHOD MD:4 DT:2	METHOD MD:1
borda count	60	METHOD MD:14 PM:3	METHOD MD:4 PM:2	PROBLEM MD:1 PM:2	METHOD MD:4 DT:1 MC:1	METHOD MD:1
graph cut	60	METHOD MD:15 PM:5	PROBLEM PM:1	METHOD MD:4 PM:1 MC:2	METHOD MD:4	METHOD MD:2 PM:1 DT:1
learning object metadata	60	DATASET DT:1	METHOD MD:1	METHOD MD:1 PM:1	METHOD MD:1 PM:1	N/A
probabilistic topic model	60	METHOD MD:1	METHOD MD:3	METHOD MD:2 PM:2	DATASET PM:1 DT:2	PROBLEM PM:1
system administrators	59	N/A	PROBLEM PM:1	PROBLEM PM:3 DT:1	DATASET DT:1	PROBLEM MD:1 PM:3
affinity graph	59	N/A	N/A	METRIC MC:1	DATASET DT:1 MC:1	METHOD MD:2
privacy preserving data publishing	59	METHOD MD:1	METHOD MD:10 PM:3 MC:1	PROBLEM PM:1 DT:1	METHOD MD:1 PM:1 DT:1	N/A
stochastic approximation	59	METHOD MD:9	PROBLEM MD:1 PM:2	METHOD MD:1	METHOD MD:4 PM:4	METHOD MD:2
content creation	59	METHOD MD:1 PM:1	PROBLEM MD:3 PM:4	METHOD MD:3 PM:2	N/A	PROBLEM PM:1
round trip time	59	N/A	PROBLEM PM:1	PROBLEM PM:1	METHOD MD:2 DT:1	N/A
context free grammar	59	N/A	N/A	N/A	METHOD MD:3	METHOD MD:2 PM:1
reproducing kernel hilbert space	59	N/A	DATASET DT:1	DATASET DT:4	DATASET DT:1 MC:1	N/A
sequential minimal optimization	59	METHOD MD:6	METHOD MD:2	METHOD MD:1	METHOD MD:6 PM:1	METHOD MD:2
levenshtein distance	59	METRIC MC:1	METHOD MD:2 MC:1	METRIC MD:1 MC:2	METRIC MD:2 MC:4	METHOD MD:4
music videos	59	N/A	DATASET DT:2	N/A	DATASET DT:1	N/A
key phrase	58	N/A	METHOD MD:1	METHOD MD:2	METHOD MD:2	PROBLEM PM:1
loopy belief propagation	58	METHOD MD:7	METRIC MC:1	METHOD MD:3 PM:1	METHOD MD:5 PM:1 DT:1 MC:2	METHOD MD:1 DT:1
computer mediated communication	58	PROBLEM PM:1	N/A	N/A	N/A	N/A
content based filtering	58	METHOD MD:3 PM:3	METHOD MD:1 PM:1	N/A	DATASET DT:1	DATASET MD:1 PM:1 DT:2
strongly connected components	58	N/A	METHOD MD:1	METHOD MD:3 PM:1	N/A	METHOD MD:1 PM:1
multimedia information retrieval	58	PROBLEM PM:3	METHOD MD:2 PM:1 DT:1 MC:1	PROBLEM PM:3	N/A	N/A
true negative	58	DATASET DT:1	N/A	N/A	N/A	METHOD MD:1 DT:1 MC:1
task clustering	58	METHOD MD:15	DATASET DT:1	N/A	PROBLEM MD:3 PM:6 DT:3	PROBLEM MD:1 PM:5 DT:1
cross association	57	METHOD MD:3	DATASET MD:1 DT:2	N/A	DATASET DT:1	METHOD MD:1
entity relation	57	DATASET DT:1	METHOD MD:3 PM:2	METHOD MD:2 PM:1	PROBLEM PM:1	DATASET MD:1 DT:2
united nations	57	METHOD MD:1	N/A	N/A	DATASET DT:1	N/A
indexing time	57	PROBLEM PM:1	METHOD MD:1 DT:1	DATASET DT:1	METHOD MD:1 DT:1 MC:1	METHOD MD:3 DT:1 MC:1
petri net	57	METHOD MD:4	METHOD MD:4 PM:1	METHOD MD:1 PM:1	METHOD MD:2 PM:2	N/A
foreign keys	57	DATASET DT:1	METRIC MC:1	DATASET DT:1	METHOD MD:1 PM:1	METHOD MD:1 PM:1
time to live	57	METRIC MC:4	N/A	METRIC MC:1	METRIC MC:3	DATASET DT:1
statistical machine translation	57	PROBLEM MD:1 PM:3	METRIC MD:4 MC:6	PROBLEM PM:1	METHOD MD:1	METHOD MD:3 PM:1
naïve bayesian	57	METHOD MD:2 PM:2	PROBLEM MD:1 PM:2	METHOD MD:2 PM:1	METHOD MD:2 PM:1	METHOD MD:1
alternating optimization	57	METHOD MD:24 PM:1	METHOD MD:3	METHOD MD:8 MC:1	METHOD MD:3	METHOD MD:5 PM:1 MC:1
dependency parsing	56	N/A	METHOD MD:1 PM:1 DT:1	N/A	METHOD MD:1 PM:1	METHOD MD:1 DT:1
complete linkage	56	METHOD MD:4	METHOD MD:1	METRIC MD:1 MC:3	METRIC MC:1	METRIC MC:2
probability density functions	56	N/A	METHOD MD:1 MC:1	METHOD MD:1 DT:1	METHOD MD:1 DT:1 MC:1	DATASET DT:1 MC:1
randomization tests	56	N/A	METHOD MD:2 DT:1	METHOD MD:4	METHOD MD:1 DT:1	METHOD MD:2 PM:1 DT:1 MC:2
academic social networks	56	N/A	N/A	METHOD MD:1	N/A	PROBLEM PM:1
quality assurance	56	PROBLEM MD:2 PM:4	PROBLEM MD:1 PM:2	PROBLEM PM:2	PROBLEM PM:1 DT:1	PROBLEM MD:1 PM:2
top level domain	56	N/A	N/A	DATASET DT:1	N/A	N/A
wall street journal	56	PROBLEM PM:1	DATASET DT:1	PROBLEM PM:1 DT:1	PROBLEM PM:1	N/A
feed forward	55	METHOD MD:1	METHOD MD:3 PM:2	N/A	METHOD MD:4 MC:1	METHOD MD:1
bradley terry	55	METHOD MD:34	N/A	METHOD MD:2 PM:1	METHOD MD:4 MC:1	METHOD MD:1
state vector	55	N/A	METHOD MD:1	METHOD MD:1	N/A	METRIC MC:1
average relative error	55	N/A	METRIC MC:1	METRIC MC:1	METHOD MD:1 DT:1 MC:1	METRIC MC:5
leave one out cross validation	55	METHOD MD:1	METHOD MD:1 PM:1	METHOD MD:2 DT:2	PROBLEM MD:1 PM:2 DT:1	DATASET MD:1 PM:1 DT:3 MC:1
conditional probability distribution	55	N/A	N/A	METHOD MD:2 PM:1 DT:1	METHOD MD:1 DT:1	DATASET DT:1 MC:1
gaussian model	55	N/A	N/A	DATASET MD:1 DT:2 MC:1	METHOD MD:5 PM:1 DT:2	METHOD MD:2 MC:2
evolutionary computation	55	METHOD MD:5	METHOD MD:1 PM:1 DT:1	METHOD MD:2	PROBLEM PM:1	N/A
gaussian process regression	55	METHOD MD:7	METHOD MD:2 PM:1 DT:1	METHOD MD:3 PM:1 DT:3	METHOD MD:6 PM:2 DT:1	METHOD MD:2 DT:1
feedback score	55	PROBLEM PM:1	PROBLEM PM:1	DATASET DT:1 MC:1	N/A	PROBLEM PM:2
cross associations	55	N/A	N/A	METHOD MD:2	METHOD MD:3	METHOD MD:1
fact extraction	55	METHOD MD:2 PM:2	PROBLEM PM:1	PROBLEM PM:1	PROBLEM PM:1 DT:1	METHOD MD:2
random user	55	N/A	METHOD MD:1 PM:1	METHOD MD:1	DATASET MD:1 DT:2 MC:1	METHOD MD:2
logic programs	54	METHOD MD:1 DT:1	METHOD MD:1 MC:1	METRIC MC:1	METHOD MD:2 DT:1	PROBLEM MD:1 PM:3 DT:1
minimum spanning tree	54	METHOD MD:8 PM:3	METHOD MD:2	METHOD MD:1	METHOD MD:1 MC:1	METHOD MD:2
modularity maximization	54	METHOD MD:5 PM:1	METHOD MD:2	METHOD MD:1	METHOD MD:3	METHOD MD:1
maximum likelihood estimator	54	N/A	N/A	PROBLEM MD:1 PM:2	METHOD MD:2 MC:1	DATASET PM:1 DT:2 MC:1
multi armed bandits	54	N/A	METHOD MD:3 MC:2	METHOD MD:6 PM:1 MC:1	PROBLEM PM:1	METHOD MD:1
content and structure	54	DATASET DT:4	METHOD MD:1	METHOD MD:2 PM:1 DT:2	METHOD MD:2	N/A
web information systems	54	N/A	N/A	N/A	DATASET DT:2	DATASET DT:1
content delivery networks	54	N/A	DATASET DT:1	N/A	METHOD MD:1	N/A
jelinek mercer	54	METRIC MC:1	METHOD MD:5 PM:1	N/A	METHOD MD:1 MC:1	METHOD MD:1
million query	54	DATASET DT:1	DATASET DT:2	PROBLEM PM:1 DT:1	DATASET DT:4	DATASET MD:1 PM:1 DT:5
adjusted rand index	54	METRIC MC:1	METRIC MC:2	METRIC PM:2 MC:4	METRIC DT:1 MC:3	PROBLEM PM:1 DT:1 MC:1
interaction information	54	N/A	PROBLEM PM:1 MC:1	PROBLEM PM:1	METHOD MD:1 PM:1 MC:1	METHOD MD:2 PM:1 MC:1
congestive heart failure	53	DATASET DT:3	N/A	N/A	PROBLEM PM:1 DT:1	N/A
bayesian information criterion	53	N/A	N/A	METRIC MC:1	N/A	METHOD MD:1 DT:1 MC:1
multiple regression	53	METHOD MD:3 PM:1 DT:1	METHOD MD:1	METRIC MD:3 MC:6	DATASET PM:1 DT:3	METHOD MD:1 DT:1
library of congress	53	DATASET DT:3	PROBLEM PM:1	DATASET DT:3	N/A	DATASET DT:3
kyoto university	53	N/A	N/A	N/A	N/A	PROBLEM PM:1
information quality	53	PROBLEM PM:1	METHOD MD:2	N/A	PROBLEM PM:1 DT:1	METHOD MD:1
protein protein interactions	52	N/A	PROBLEM MD:1 PM:2 DT:1 MC:1	METHOD MD:2 DT:2	DATASET MD:1 DT:4	DATASET DT:2
pay per click	52	METHOD MD:8	METHOD MD:1	METHOD MD:1	METHOD MD:1 MC:1	N/A
gini coefficient	52	N/A	METRIC MC:1	METRIC MC:6	METRIC MC:1	METRIC MC:1
distance based outlier	52	METHOD MD:1 PM:1	METHOD MD:7 PM:2	METHOD MD:1 DT:1	DATASET MD:1 DT:2	DATASET MD:2 DT:6
mobile social network	52	DATASET DT:1	METHOD MD:1	METHOD MD:1	METHOD MD:2 DT:2	DATASET DT:1
canonical correlation analysis	52	METHOD MD:1	N/A	N/A	PROBLEM PM:1	PROBLEM MD:1 PM:6
wikipedia miner	52	PROBLEM PM:1	METHOD MD:1 DT:1	METHOD MD:2 PM:1	METHOD MD:1	METHOD MD:1
autonomous systems	52	DATASET DT:2	METHOD MD:1	METHOD MD:1	DATASET PM:1 DT:2	N/A
cascading style sheets	52	N/A	N/A	N/A	METHOD MD:1	METHOD MD:2
intrusion detection systems	52	N/A	PROBLEM MD:1 PM:3	METHOD MD:1 PM:1 DT:1 MC:1	METHOD MD:1 PM:1	N/A
social networking services	52	N/A	N/A	N/A	METHOD MD:1	DATASET DT:1
searchable forms	52	N/A	N/A	PROBLEM PM:1 DT:1	DATASET DT:1	N/A
expectation propagation	52	METHOD MD:4 PM:1	METHOD MD:2	METHOD MD:2	N/A	METHOD MD:11 PM:2
quantitative association rules	51	N/A	DATASET DT:1	METHOD MD:2 PM:1	METHOD MD:1 DT:1	N/A
area of interest	51	PROBLEM PM:1	N/A	N/A	DATASET DT:1	N/A
virginia tech	51	N/A	N/A	N/A	N/A	DATASET DT:1
reciprocal rank	51	METRIC MC:2	METHOD MD:1	N/A	METHOD MD:2 MC:1	PROBLEM PM:1 MC:1
multi relational data mining	51	PROBLEM MD:1 PM:2	N/A	PROBLEM PM:1	PROBLEM PM:1 DT:1	METHOD MD:2 DT:1
bayesian personalized ranking	51	METHOD MD:1	METRIC MC:1	METRIC MC:2	METHOD MD:5	METHOD MD:2 PM:1
nested loop	51	METHOD MD:18	PROBLEM PM:1	METHOD MD:2 DT:2	METHOD MD:2 DT:1	DATASET DT:1
topic similarity	50	METRIC MC:3	METRIC MC:3	METRIC MC:2	METRIC MC:2	N/A
path sequence	50	N/A	N/A	METHOD MD:1	METHOD MD:1 MC:1	METHOD MD:2
agglomerative hierarchical clustering	50	METHOD MD:3 PM:2	METHOD MD:1	METHOD MD:2 DT:1	METHOD MD:4 PM:1 MC:1	METHOD MD:2
continual query	50	PROBLEM PM:5	N/A	PROBLEM MD:1 PM:3	PROBLEM PM:2	PROBLEM PM:1
aggregated search	50	N/A	N/A	PROBLEM PM:1 DT:1	PROBLEM PM:2	METHOD MD:3 PM:2
iterative aggregation	50	METHOD MD:13	METHOD MD:4	METHOD MD:1	METHOD MD:3	METHOD MD:4
defense advanced research projects agency	50	N/A	N/A	N/A	N/A	N/A
semantic web service	50	METHOD MD:1	METHOD MD:1	METRIC MC:1	METHOD MD:3	METHOD MD:1
functional properties	50	N/A	N/A	PROBLEM PM:1	METHOD MD:2 PM:1	N/A
interactive learning	50	METHOD MD:10 PM:4 DT:1	PROBLEM PM:1 DT:1	METHOD MD:2 PM:1	METHOD MD:1 PM:1	PROBLEM MD:1 PM:2
michael jackson	50	N/A	DATASET DT:1	N/A	PROBLEM PM:1	N/A
inference engine	50	N/A	N/A	METHOD MD:1	METHOD MD:1 PM:1	METHOD MD:1
learned weights	50	N/A	METHOD MD:1	PROBLEM PM:1 DT:1	METHOD MD:3 PM:1 MC:1	METHOD MD:3 PM:1
personal information management	50	METHOD MD:1 PM:1	PROBLEM MD:1 PM:4	PROBLEM PM:1 DT:1	N/A	N/A
mean difference	50	N/A	N/A	METHOD MD:2 MC:1	METRIC DT:1 MC:2	PROBLEM PM:1 DT:1
not assigned	49	N/A	DATASET DT:2 MC:2	DATASET DT:1	N/A	METHOD MD:1
content objects	49	N/A	PROBLEM PM:1	METHOD MD:1	METHOD MD:1 PM:1	DATASET DT:1
passive aggressive	49	METHOD MD:5	METHOD MD:4 PM:1	PROBLEM PM:1	METHOD MD:4	N/A
