ENTITY	COUNT	WINDOWSIZE1	WINDOWSIZE2	WINDOWSIZE3	WINDOWSIZE4	WINDOWSIZE5
f measure	1286	METRIC MD:2 PM:7 MC:40	METRIC MD:6 PM:3 DT:4 MC:15	METRIC MD:21 PM:17 DT:6 MC:24	METRIC MD:18 PM:8 DT:12 MC:26	METRIC MD:12 PM:11 DT:7 MC:14
information extraction	1236	PROBLEM MD:29 PM:61 DT:3	METHOD MD:23 PM:21 DT:10	METHOD MD:28 PM:10 DT:12	DATASET MD:18 PM:20 DT:21	PROBLEM MD:9 PM:13 DT:13
web server	1188	METHOD MD:31 PM:28	DATASET MD:2 PM:8 DT:11 MC:1	PROBLEM MD:24 PM:34 DT:13 MC:1	PROBLEM MD:18 PM:26 DT:11	METHOD MD:12 PM:12 DT:11 MC:2
support vector machines	1183	METHOD MD:3	METHOD MD:18 PM:11 DT:7 MC:1	METHOD MD:24 PM:13 DT:13 MC:1	PROBLEM MD:18 PM:33 DT:3 MC:2	DATASET MD:10 PM:6 DT:29 MC:3
log likelihood	1174	METRIC MD:7 PM:3 DT:29 MC:125	METRIC MD:8 PM:7 DT:4 MC:27	DATASET MD:33 PM:7 DT:37 MC:17	METHOD MD:44 PM:6 DT:34 MC:20	METHOD MD:30 DT:14 MC:20
matrix factorization	1167	METHOD MD:148 PM:36	METHOD MD:38 PM:5 DT:1 MC:5	METHOD MD:26 PM:7 DT:9	METHOD MD:38 PM:13 DT:7 MC:3	METHOD MD:39 PM:6 DT:8 MC:5
decision trees	1152	METHOD MD:5	DATASET MD:11 PM:8 DT:15 MC:1	METHOD MD:33 PM:16 DT:29 MC:2	METHOD MD:20 PM:8 DT:19 MC:3	METHOD MD:19 PM:14 DT:18 MC:5
text classification	1126	PROBLEM MD:22 PM:56 DT:5 MC:1	METHOD MD:33 PM:28 DT:10	PROBLEM MD:14 PM:26 DT:15 MC:3	METHOD MD:29 PM:16 DT:10 MC:3	METHOD MD:18 PM:14 DT:6 MC:2
anomaly detection	1125	METHOD MD:77 PM:49 DT:1 MC:2	METHOD MD:22 PM:13 DT:13 MC:8	DATASET MD:30 PM:18 DT:42 MC:2	DATASET MD:23 PM:14 DT:27 MC:4	DATASET MD:21 PM:13 DT:24 MC:4
nearest neighbor	1120	METHOD MD:78 PM:17 DT:8 MC:8	METHOD MD:23 PM:5 DT:4 MC:3	METHOD MD:14 PM:3 DT:11 MC:12	METHOD MD:16 PM:3 DT:15 MC:9	METHOD MD:28 PM:8 DT:14 MC:9
language model	1114	METHOD MD:18 DT:3 MC:9	METHOD MD:17 PM:2 DT:1 MC:3	METHOD MD:32 PM:6 DT:7 MC:5	METHOD MD:59 PM:4 DT:7 MC:5	METHOD MD:67 PM:8 DT:4 MC:10
classification accuracy	1109	METRIC PM:1 MC:3	METRIC MD:7 PM:7 DT:3 MC:10	METHOD MD:25 PM:8 DT:20 MC:9	DATASET MD:32 PM:10 DT:33 MC:18	METHOD MD:30 PM:14 DT:21 MC:9
false positives	1108	METHOD MD:1 DT:1	METHOD MD:1 PM:1 DT:1 MC:1	METHOD MD:16 PM:13 DT:5 MC:4	PROBLEM MD:15 PM:16 DT:7 MC:2	METHOD MD:12 PM:10 MC:6
class labels	1106	DATASET DT:1	DATASET MD:4 PM:4 DT:10	DATASET MD:17 PM:5 DT:38 MC:2	DATASET MD:16 PM:5 DT:34 MC:7	METHOD MD:20 PM:7 DT:11 MC:6
topic model	1065	METHOD MD:13 PM:5 MC:1	METHOD MD:22 PM:6 DT:3	METHOD MD:32 PM:6 DT:9 MC:5	METHOD MD:39 PM:5 DT:13 MC:1	METHOD MD:44 PM:7 DT:14 MC:2
data structure	1058	METHOD MD:1 PM:1 DT:1	METHOD MD:12 PM:2 DT:4 MC:1	METHOD MD:15 PM:4 DT:14 MC:1	METHOD MD:25 PM:7 DT:18 MC:3	DATASET MD:13 PM:6 DT:24 MC:4
user interface	1056	PROBLEM MD:4 PM:67	PROBLEM MD:9 PM:17 DT:4	PROBLEM MD:8 PM:28 DT:4 MC:1	PROBLEM MD:14 PM:24 DT:6 MC:2	PROBLEM MD:6 PM:25 DT:4 MC:1
greedy algorithm	1042	METHOD MD:1	METHOD MD:8 PM:2 DT:1 MC:1	METHOD MD:40 PM:14 DT:1 MC:9	METHOD MD:54 PM:11 MC:10	METHOD MD:40 PM:19 MC:10
cosine similarity	1041	METRIC MD:7 MC:97	METRIC MD:7 PM:2 DT:3 MC:13	METRIC MD:14 PM:3 DT:5 MC:26	METRIC MD:11 PM:3 DT:11 MC:21	METHOD MD:19 PM:1 DT:3 MC:18
natural language	1020	METHOD MD:3 PM:3 DT:1	DATASET MD:8 PM:7 DT:11	PROBLEM MD:14 PM:15 DT:4 MC:1	PROBLEM MD:9 PM:11 DT:4 MC:1	METHOD MD:12 PM:8 DT:5 MC:1
low rank	994	METHOD MD:35 DT:5 MC:4	METHOD MD:18 PM:6 DT:2 MC:5	METHOD MD:20 PM:13 DT:7 MC:4	METHOD MD:19 PM:9 DT:6 MC:7	METHOD MD:15 PM:6 DT:7 MC:2
very high	994	METRIC MD:1 DT:2 MC:20	DATASET MD:8 PM:6 DT:26 MC:13	METHOD MD:13 PM:5 DT:11 MC:5	DATASET MD:5 PM:4 DT:20 MC:9	METRIC MD:10 PM:5 DT:8 MC:11
learning to rank	978	METHOD MD:135 PM:24 DT:4 MC:7	METHOD MD:27 PM:15 DT:11 MC:2	METHOD MD:16 PM:11 DT:16 MC:1	METHOD MD:45 PM:11 DT:23 MC:4	PROBLEM MD:11 PM:30 DT:7 MC:6
supervised learning	956	METHOD MD:186 PM:83 DT:1	METHOD MD:16 PM:12 DT:13 MC:2	DATASET MD:25 PM:11 DT:31 MC:7	METHOD MD:15 PM:13 DT:13 MC:2	METHOD MD:28 PM:22 DT:19 MC:4
error rate	956	METHOD MD:5	METRIC MD:1 PM:4 DT:2 MC:5	METHOD MD:13 PM:7 DT:9 MC:12	METHOD MD:19 PM:12 DT:11 MC:9	METHOD MD:27 PM:7 DT:5 MC:7
euclidean distance	954	METRIC MD:4 MC:54	METRIC MD:5 PM:3 DT:3 MC:14	METRIC MD:8 PM:2 DT:4 MC:25	METRIC MD:22 PM:3 DT:7 MC:42	METHOD MD:13 PM:1 DT:9 MC:13
domain knowledge	949	METHOD MD:2 PM:1	DATASET MD:3 PM:6 DT:9 MC:1	METHOD MD:23 PM:21 DT:22 MC:1	METHOD MD:45 PM:28 DT:11 MC:3	METHOD MD:24 PM:14 DT:18 MC:4
outlier detection	946	METHOD MD:80 PM:30 DT:1 MC:1	METHOD MD:33 PM:21 DT:13 MC:7	METHOD MD:22 PM:12 DT:21	DATASET MD:16 PM:11 DT:39 MC:4	DATASET MD:22 PM:13 DT:24 MC:14
neural information processing systems	941	N/A	N/A	DATASET MD:3 PM:1 DT:7	METHOD MD:7 PM:2 DT:3 MC:3	METHOD MD:30 PM:10 DT:17 MC:2
human factors	927	N/A	N/A	PROBLEM MD:1 PM:4	PROBLEM MD:1 PM:3 DT:1 MC:2	PROBLEM MD:2 PM:5 DT:2 MC:1
naive bayes	909	METHOD MD:21 PM:4 DT:1 MC:2	METHOD MD:25 PM:8 DT:1 MC:5	METHOD MD:13 PM:6 DT:6 MC:3	METHOD MD:23 PM:5 DT:4 MC:5	METHOD MD:17 PM:3 DT:7
linked data	900	METHOD MD:6 PM:5	DATASET MD:11 PM:8 DT:12 MC:1	DATASET MD:9 PM:7 DT:21 MC:1	DATASET MD:13 PM:5 DT:24	DATASET MD:14 PM:6 DT:35
sponsored search	891	PROBLEM MD:4 PM:43 DT:16	METHOD MD:20 PM:16 DT:19 MC:1	METHOD MD:15 PM:7 DT:4 MC:3	METHOD MD:14 PM:11 DT:4 MC:1	PROBLEM MD:14 PM:15 DT:11 MC:4
natural language processing	887	PROBLEM MD:6 PM:8	METHOD MD:21 PM:13 DT:5	DATASET MD:3 PM:4 DT:10	METHOD MD:4 PM:4 DT:1 MC:1	DATASET MD:6 PM:3 DT:8
online social networks	886	N/A	DATASET MD:2 PM:5 DT:6	DATASET MD:4 PM:5 DT:7 MC:2	DATASET MD:2 PM:2 DT:5 MC:4	DATASET MD:4 PM:4 DT:7 MC:4
mutual information	866	METRIC MD:5 MC:27	METHOD MD:21 PM:3 DT:5 MC:9	METHOD MD:13 PM:5 DT:6 MC:8	METHOD MD:18 PM:3 DT:4 MC:17	METHOD MD:18 PM:6 DT:6 MC:10
language models	856	METHOD MD:1	METHOD MD:8 PM:6 MC:4	METHOD MD:18 PM:11 DT:3 MC:4	METHOD MD:20 PM:5 DT:4 MC:1	METHOD MD:22 PM:4 DT:3 MC:1
gibbs sampling	856	METHOD MD:142 PM:21	METHOD MD:30 PM:3 DT:1 MC:5	METHOD MD:54 PM:4 DT:5 MC:7	METHOD MD:45 PM:5 DT:5 MC:5	METHOD MD:36 PM:6 DT:7 MC:5
transfer learning	851	METHOD MD:118 PM:26 DT:3 MC:1	METHOD MD:15 PM:13 DT:8	DATASET MD:13 PM:14 DT:16 MC:2	METHOD MD:26 PM:8 DT:12 MC:5	METHOD MD:23 PM:13 DT:11 MC:1
semi supervised learning	846	METHOD MD:128 PM:46	METHOD MD:24 PM:9 DT:8 MC:1	PROBLEM MD:15 PM:17 DT:9 MC:2	METHOD MD:16 PM:3 DT:16 MC:3	METHOD MD:24 PM:5 DT:14 MC:4
random walks	844	METHOD MD:3	METHOD MD:11 PM:7 DT:7 MC:4	METHOD MD:14 PM:4 DT:3 MC:3	METRIC MD:4 PM:3 DT:2 MC:5	METHOD MD:13 PM:3 DT:4 MC:7
text categorization	831	PROBLEM MD:9 PM:30 DT:4	METHOD MD:15 PM:15 DT:2 MC:1	PROBLEM MD:10 PM:48 DT:9	METHOD MD:17 PM:6 DT:6	PROBLEM MD:10 PM:18 DT:2 MC:1
linear regression	831	METHOD MD:147 PM:35 MC:6	METHOD MD:26 PM:6 DT:5 MC:2	METHOD MD:24 PM:7 DT:8 MC:13	METHOD MD:17 PM:6 DT:10 MC:5	METHOD MD:27 PM:10 DT:6 MC:10
information diffusion	830	METHOD MD:90 PM:46 DT:5 MC:4	METHOD MD:38 PM:16 DT:1 MC:1	METHOD MD:19 PM:9 DT:2 MC:1	METHOD MD:22 PM:6 DT:3	METHOD MD:23 PM:6 DT:4 MC:2
named entities	829	N/A	PROBLEM MD:1 PM:3 DT:3 MC:2	DATASET MD:13 PM:12 DT:19 MC:1	DATASET MD:11 PM:8 DT:12 MC:2	METHOD MD:15 PM:12 DT:5 MC:2
prediction accuracy	827	METRIC MD:2 DT:1 MC:4	METHOD MD:7 DT:5 MC:3	METHOD MD:26 PM:7 DT:11 MC:5	METHOD MD:31 PM:7 DT:11 MC:12	METHOD MD:29 PM:3 DT:9 MC:4
markov chain	821	METHOD MD:57 PM:2 DT:1	METHOD MD:13 PM:4	METHOD MD:24 PM:6 DT:2 MC:4	METHOD MD:15 PM:6 DT:3 MC:1	METHOD MD:29 PM:16 DT:3 MC:4
probabilistic model	811	METHOD MD:1	METHOD MD:14 MC:2	METHOD MD:27 PM:9 DT:16 MC:8	METHOD MD:29 PM:6 DT:9 MC:7	METHOD MD:31 PM:7 DT:8 MC:9
information gain	785	METRIC MD:3 DT:2 MC:20	METRIC MD:7 PM:2 MC:15	METRIC MD:11 PM:2 DT:2 MC:12	METHOD MD:10 PM:1 DT:10 MC:10	DATASET MD:8 PM:5 DT:9 MC:5
united states	780	DATASET DT:1	DATASET PM:1 DT:6	DATASET MD:2 PM:5 DT:8	DATASET MD:1 PM:2 DT:3 MC:1	DATASET MD:2 DT:8 MC:1
spectral clustering	776	METHOD MD:86 PM:2	METHOD MD:10 PM:4 DT:3 MC:4	METHOD MD:14 PM:4 DT:11 MC:3	METHOD MD:15 PM:1 DT:14 MC:2	METHOD MD:48 PM:7 DT:19 MC:4
very low	770	METRIC MD:2 PM:2 DT:3 MC:17	METRIC MD:6 PM:2 DT:5 MC:17	METRIC MD:5 PM:6 DT:7 MC:8	METHOD MD:8 PM:3 DT:7 MC:4	DATASET MD:7 PM:4 DT:8 MC:5
mixture model	767	METHOD MD:17 PM:3 MC:1	METHOD MD:6 PM:1 DT:2	METHOD MD:17 PM:5 DT:15 MC:6	METHOD MD:36 PM:9 DT:12 MC:7	METHOD MD:27 PM:7 DT:16 MC:2
anchor text	763	METHOD MD:6 PM:1 DT:6	METHOD MD:10 PM:2 DT:2	METHOD MD:10 PM:2 DT:2 MC:1	DATASET MD:2 PM:2 DT:5 MC:3	METHOD MD:4 PM:3 DT:2 MC:2
question answering	737	PROBLEM MD:10 PM:81 DT:1	METHOD MD:11 PM:11 DT:5	DATASET MD:8 PM:10 DT:18	PROBLEM MD:6 PM:19 DT:9 MC:3	PROBLEM MD:6 PM:15 DT:6 MC:1
sentiment analysis	730	METHOD MD:18 PM:16 DT:1	METHOD MD:15 PM:5 DT:2	DATASET MD:8 PM:10 DT:14	METHOD MD:11 PM:10 DT:7	METHOD MD:12 PM:12 DT:7 MC:2
knowledge management	729	PROBLEM MD:1 PM:11	DATASET MD:2 PM:3 DT:4 MC:1	DATASET PM:3 DT:4	PROBLEM MD:1 PM:3	PROBLEM MD:1 PM:2
latent dirichlet allocation	718	METHOD MD:21	METHOD MD:32 PM:2 DT:5 MC:1	METHOD MD:16 PM:2 DT:1	METHOD MD:49 PM:5 DT:2	METHOD MD:20 PM:6
clustering coefficient	708	METRIC MC:5	METRIC MD:1 MC:3	METRIC MD:2 PM:1 MC:7	METHOD MD:9 PM:3 MC:6	METHOD MD:5 PM:5 MC:3
precision recall	699	METRIC MD:7 PM:1 MC:33	METRIC MD:3 PM:2 DT:2 MC:55	METRIC MD:5 PM:2 DT:1 MC:7	METHOD MD:8 PM:3 DT:6 MC:6	METRIC MD:8 PM:8 DT:10 MC:13
hierarchical clustering	698	METHOD MD:135 PM:13	PROBLEM MD:12 PM:13 DT:3 MC:2	METHOD MD:11 PM:7 DT:11 MC:3	METHOD MD:25 PM:7 DT:21 MC:5	METHOD MD:15 PM:1 DT:14 MC:5
data source	689	METHOD MD:1 PM:1	DATASET MD:2 PM:2 DT:8 MC:1	DATASET MD:5 PM:6 DT:23 MC:5	DATASET MD:11 PM:9 DT:37 MC:6	DATASET MD:8 PM:7 DT:30 MC:7
web search engines	684	METHOD MD:2 PM:1	METHOD MD:9 PM:5 DT:4 MC:1	METHOD MD:12 PM:10 DT:6 MC:2	METHOD MD:9 PM:6 DT:1 MC:2	PROBLEM MD:5 PM:8 DT:1 MC:2
query expansion	680	METHOD MD:40 PM:11 MC:1	METHOD MD:13 PM:7 DT:5 MC:1	METHOD MD:15 PM:6 DT:2	PROBLEM MD:7 PM:8 DT:5	PROBLEM MD:5 PM:8 DT:2
gold standard	680	DATASET MD:2 PM:4 DT:44 MC:5	DATASET PM:4 DT:6 MC:2	DATASET MD:10 PM:13 DT:14 MC:1	PROBLEM MD:9 PM:12 DT:12	PROBLEM MD:7 PM:17 DT:11 MC:4
neural networks	672	METHOD MD:1	DATASET MD:11 PM:7 DT:19 MC:1	METHOD MD:10 PM:8 DT:7 MC:3	DATASET MD:6 DT:8 MC:2	METHOD MD:10 PM:6 DT:8 MC:1
bag of words	670	METHOD MD:102 PM:6 DT:1 MC:1	METHOD MD:19 DT:1 MC:1	METHOD MD:6 PM:3 DT:6 MC:6	METHOD MD:15 PM:4 DT:4 MC:2	METHOD MD:14 PM:4 DT:4 MC:1
conditional probability	661	METRIC MD:5 MC:8	METHOD MD:14 PM:1 DT:1 MC:7	METHOD MD:16 PM:3 DT:7 MC:5	METHOD MD:9 PM:2 DT:2 MC:5	METHOD MD:12 PM:1 DT:10 MC:10
bayesian network	657	METHOD MD:18 MC:4	METHOD MD:27 PM:4 DT:6 MC:2	METHOD MD:26 PM:10 DT:13 MC:1	METHOD MD:19 PM:5 DT:16 MC:2	DATASET MD:19 PM:4 DT:24 MC:2
computer vision	647	PROBLEM MD:1 PM:3	PROBLEM MD:2 PM:6 DT:4	DATASET PM:3 DT:4	DATASET MD:2 PM:4 DT:6 MC:1	PROBLEM MD:5 PM:8 DT:3 MC:2
information need	647	PROBLEM PM:1	PROBLEM MD:2 PM:3	METHOD MD:4 PM:4 DT:1 MC:2	PROBLEM MD:5 PM:11 MC:1	PROBLEM MD:6 PM:10 DT:3
sliding window	641	METHOD MD:40 PM:22 DT:1	METHOD MD:9 PM:2 DT:3 MC:1	METHOD MD:11 PM:5 DT:11 MC:3	METHOD MD:23 PM:1 DT:12 MC:4	METHOD MD:14 PM:6 DT:9 MC:4
dynamic programming	640	METHOD MD:209 PM:19	METHOD MD:37 PM:5 MC:1	METHOD MD:28 PM:5 MC:3	METHOD MD:21 PM:8 DT:2 MC:1	METHOD MD:18 PM:10 MC:4
differential privacy	636	METHOD MD:6 MC:2	DATASET MD:13 PM:3 DT:23	DATASET MD:14 PM:7 DT:19 MC:1	DATASET MD:11 PM:4 DT:21	METHOD MD:17 PM:3 DT:12 MC:4
support vector machine	623	METHOD MD:14	METHOD MD:19 PM:7 DT:1	METHOD MD:9 PM:3 DT:5 MC:2	METHOD MD:25 PM:5 DT:4 MC:1	METHOD MD:14 PM:6 DT:1 MC:3
web search engine	619	PROBLEM MD:1 PM:6 DT:2	DATASET MD:1 DT:3 MC:3	DATASET MD:5 PM:1 DT:6 MC:1	DATASET MD:7 PM:3 DT:9 MC:3	DATASET MD:7 PM:3 DT:10
maximum entropy	594	METHOD MD:164 PM:6 MC:8	METHOD MD:27 PM:8	METHOD MD:11 PM:4 DT:2 MC:3	METHOD MD:16 PM:1 DT:8 MC:3	METHOD MD:19 PM:5 DT:2 MC:3
degree distribution	592	PROBLEM PM:1	METHOD MD:2 DT:1	METHOD MD:5 PM:1 DT:1	METHOD MD:11 PM:4 DT:1 MC:1	METHOD MD:9 PM:1 MC:6
association rule mining	590	METHOD MD:48 PM:13	METHOD MD:23 PM:12 DT:8 MC:4	METHOD MD:32 PM:8 DT:19 MC:1	DATASET MD:14 PM:8 DT:29 MC:3	DATASET MD:8 PM:6 DT:10 MC:1
bottom up	588	METHOD MD:112 PM:9 DT:3 MC:1	METHOD MD:53 PM:4 DT:1	METHOD MD:34 PM:6 DT:2	METHOD MD:29 PM:4 DT:7	METHOD MD:25 PM:1 DT:5 MC:2
least squares	578	PROBLEM MD:26 PM:70 MC:4	METHOD MD:17 PM:17 DT:2 MC:10	METHOD MD:9 PM:3 DT:8 MC:1	METHOD MD:23 PM:16 DT:3 MC:2	METHOD MD:25 PM:4 DT:4 MC:5
influence maximization	575	PROBLEM MD:18 PM:116 DT:1	PROBLEM MD:24 PM:29 MC:2	METHOD MD:25 PM:13 DT:2 MC:3	METHOD MD:16 PM:9 DT:5 MC:2	METHOD MD:20 PM:10 DT:9 MC:3
average precision	574	METRIC MC:11	METHOD MD:6 DT:1 MC:5	METHOD MD:25 PM:1 DT:2 MC:4	METRIC MD:8 PM:6 DT:1 MC:9	METRIC MD:4 PM:7 DT:2 MC:12
time window	558	METHOD MD:6 PM:1 MC:1	METHOD MD:1 DT:1 MC:1	DATASET MD:7 PM:2 DT:11 MC:3	METRIC MD:5 PM:2 DT:5 MC:7	METHOD MD:7 PM:6 DT:5 MC:4
relevance feedback	553	METHOD MD:27 PM:18 DT:1 MC:1	PROBLEM MD:4 PM:8 DT:1 MC:1	METHOD MD:14 PM:12 DT:7 MC:1	METHOD MD:9 PM:9 DT:1 MC:1	METHOD MD:11 PM:5 DT:3
